Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/11/01 20:41:55,26.07,26.00,4.32,-20479.84,5.62,0.54,142,40192,6307,6300.06,134.13,154.88,29.57,
2022/11/01 20:42:10,25.75,25.75,4.32,319.84,5.78,0.09,142,38912,6075,6325.86,124.75,147.13,29.46,
2022/11/01 20:42:25,25.43,25.50,4.33,319.84,4.68,0.36,144,39424,6071,6324.02,124.50,146.75,29.44,
2022/11/01 20:42:40,25.11,25.25,4.33,319.84,5.23,0.09,145,39936,6070,6292.68,124.00,146.38,29.44,
2022/11/01 20:42:55,25.11,25.50,4.33,319.84,5.01,0.27,144,39680,6046,6285.31,123.88,146.13,29.44,
2022/11/01 20:43:10,25.11,25.50,4.33,319.84,4.19,0.45,142,38912,6057,6263.19,123.38,145.50,29.44,
2022/11/01 20:43:25,25.11,25.25,4.33,319.84,4.74,0.71,143,39168,6035,6263.19,123.13,145.38,29.44,
2022/11/01 20:43:40,25.11,25.50,4.33,319.84,5.38,1.33,144,39168,6022,6250.29,122.38,144.63,29.43,
2022/11/01 20:43:55,25.11,25.25,4.33,319.84,4.89,0.45,142,38912,6009,6220.80,121.75,144.00,29.43,
2022/11/01 20:44:10,25.00,25.25,4.33,319.84,5.14,0.18,141,38912,6006,6230.02,121.75,143.88,29.43,
2022/11/01 20:44:25,25.00,25.25,4.33,319.84,5.35,0.72,141,38656,6005,6237.39,121.25,143.50,29.43,
2022/11/01 20:44:40,25.11,25.50,4.33,319.84,4.48,0.18,140,38144,5882,6099.15,117.50,139.38,29.43,
2022/11/01 20:44:55,25.11,25.50,4.33,319.84,4.94,0.45,139,37888,5854,6075.19,117.13,138.88,29.42,
2022/11/01 20:45:10,25.21,25.50,4.34,319.84,5.21,0.44,140,38144,5966,6191.31,120.63,142.75,29.41,
2022/11/01 20:45:25,25.21,25.50,4.33,319.84,5.05,0.97,139,37632,5811,6010.68,114.63,136.50,29.39,
2022/11/01 20:45:40,25.21,25.50,4.33,319.84,5.70,0.00,134,36096,5653,5835.57,109.50,130.88,29.37,
2022/11/01 20:45:55,25.21,25.25,4.35,319.84,5.44,0.18,134,36608,5707,5933.26,111.00,132.50,29.34,
2022/11/01 20:46:10,25.00,25.00,4.34,319.84,5.73,0.72,136,37120,5796,5968.28,114.00,135.75,29.31,
2022/11/01 20:46:25,24.79,25.00,4.34,319.84,4.79,0.35,136,37120,5777,5970.12,113.88,135.38,29.27,
2022/11/01 20:46:40,24.68,25.00,4.34,319.84,5.36,0.45,135,36608,5728,5922.20,112.50,133.88,29.25,
2022/11/01 20:46:55,24.57,24.75,4.34,319.84,4.37,0.63,135,36864,5771,5959.07,113.88,135.38,29.23,
2022/11/01 20:47:10,24.36,24.50,4.34,319.84,5.16,0.44,138,37376,5827,6025.42,115.63,137.13,29.20,
2022/11/01 20:47:25,24.25,24.50,4.34,319.84,5.27,1.36,137,37632,5905,6086.25,117.88,139.63,29.19,
2022/11/01 20:47:40,24.15,24.50,4.34,319.84,5.08,0.36,137,37376,5865,6077.03,117.13,138.75,29.18,
2022/11/01 20:47:55,24.15,24.50,4.34,319.84,5.22,0.90,134,36352,5743,5925.89,112.88,134.25,29.16,
2022/11/01 20:48:10,24.15,24.50,4.34,319.84,5.31,0.18,135,37120,5771,5940.63,112.75,134.50,29.13,
2022/11/01 20:48:25,24.04,24.50,4.34,319.84,3.76,0.27,134,36608,5692,5863.22,110.63,132.00,29.12,
2022/11/01 20:48:40,24.15,24.50,4.34,319.84,4.61,0.46,132,36096,5698,5857.69,111.13,132.25,29.11,
2022/11/01 20:48:55,24.15,24.50,4.34,319.84,4.52,0.71,136,37376,5793,5979.34,114.88,136.13,29.11,
2022/11/01 20:49:10,24.15,24.50,4.34,319.84,5.37,0.45,135,37376,5792,5964.60,114.88,136.00,29.11,
2022/11/01 20:49:25,23.93,24.50,4.34,319.84,5.03,0.27,134,36864,5772,5960.91,114.13,135.38,29.09,
2022/11/01 20:49:40,24.04,24.25,4.34,319.84,4.93,0.18,133,36352,5760,5942.48,114.25,135.25,29.09,
2022/11/01 20:49:55,23.93,24.25,4.34,319.84,5.34,0.36,135,37120,5744,5938.79,113.38,134.38,29.09,
2022/11/01 20:50:10,23.93,24.25,4.34,319.84,4.56,0.54,132,36096,5621,5791.33,109.25,130.25,29.08,
2022/11/01 20:50:25,23.93,24.50,4.34,319.84,4.94,0.54,131,35584,5635,5789.49,109.75,130.63,29.08,
2022/11/01 20:50:40,23.93,24.25,4.34,319.84,5.60,1.27,128,34560,5514,5666.00,105.75,126.38,29.06,
2022/11/01 20:50:55,23.83,24.25,4.34,319.84,5.01,1.16,124,33280,5344,5477.99,99.75,119.88,29.04,
2022/11/01 20:51:10,23.93,24.50,4.34,319.84,5.32,0.63,119,31744,5067,5188.61,91.50,111.00,29.01,
2022/11/01 20:51:25,24.04,24.50,4.34,319.84,5.78,0.90,117,31232,5006,5103.82,89.13,108.38,28.97,
2022/11/01 20:51:40,24.04,24.50,4.34,319.84,5.17,1.01,113,29952,4803,4904.75,83.63,102.38,28.93,
2022/11/01 20:51:55,24.15,24.50,4.34,319.84,5.32,0.26,111,29184,4667,4753.61,79.38,98.13,28.89,
2022/11/01 20:52:10,24.25,24.75,4.34,319.84,5.08,0.36,111,29184,4589,4681.73,77.38,95.88,28.85,
2022/11/01 20:52:25,24.47,24.75,4.34,319.84,4.02,0.73,104,26624,4191,4272.54,67.13,84.38,28.80,
2022/11/01 20:52:40,24.47,24.75,4.34,319.84,5.41,0.36,101,26112,4233,4316.77,68.00,85.38,28.73,
2022/11/01 20:52:55,24.57,25.00,4.34,319.84,5.27,0.91,105,27392,4449,4532.43,73.75,91.75,28.68,
2022/11/01 20:53:10,24.57,24.75,4.34,319.84,4.74,0.63,111,29184,4654,4731.49,79.50,97.88,28.64,
2022/11/01 20:53:25,24.68,25.00,4.34,319.84,5.40,0.91,115,30464,4923,5000.60,87.13,106.00,28.61,
2022/11/01 20:53:40,24.68,25.00,4.20,319.84,5.90,0.82,113,31232,5098,5083.55,95.13,113.00,28.58,
