Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/11/11 20:36:54,13.15,14.25,4.30,319.84,6.50,-2.15,33,8704,1303,1268.12,14.00,20.88,17.30,
2022/11/11 20:37:08,11.87,12.25,4.36,319.84,6.49,-1.79,38,9984,1490,1459.81,16.25,24.25,16.98,
2022/11/11 20:37:23,11.01,11.00,4.34,319.84,7.12,-0.45,40,10496,1520,1500.36,16.75,24.88,16.74,
2022/11/11 20:37:38,9.82,9.50,4.35,319.84,6.31,-0.72,40,10496,1523,1494.84,16.75,24.88,16.49,
2022/11/11 20:37:53,9.17,9.00,4.35,319.84,6.46,-1.34,41,10240,1605,1592.52,17.75,26.38,16.25,
2022/11/11 20:38:08,8.07,8.00,4.35,319.84,6.36,-1.61,43,11008,1618,1605.43,17.88,26.50,16.01,
2022/11/11 20:38:23,7.19,7.00,4.36,315.63,7.93,2.69,31,8448,1179,1122.51,13.00,18.88,15.75,
2022/11/11 20:38:38,6.30,6.25,4.37,172.19,6.52,1.18,35,9216,1374,1341.85,15.50,22.63,15.50,
2022/11/11 20:38:53,5.74,5.50,4.37,319.84,7.87,1.63,41,10240,1620,1605.43,17.88,26.63,15.26,
2022/11/11 20:39:08,4.95,5.00,4.37,319.84,6.62,1.27,42,10752,1602,1594.37,17.75,26.38,15.03,
2022/11/11 20:39:23,4.38,4.50,4.37,319.84,6.57,0.90,40,10240,1581,1564.88,17.50,26.00,14.78,
2022/11/11 20:39:38,3.81,3.75,4.37,319.84,6.96,2.42,39,9984,1559,1539.07,17.13,25.50,14.54,
