Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/11/06 19:18:05,18.76,18.75,4.37,319.84,3.64,0.09,181,48128,6846,7452.06,161.25,181.63,19.36,
2022/11/06 19:18:20,18.65,18.25,4.37,319.84,3.07,-0.36,173,44544,6440,7011.53,143.50,163.13,19.28,
2022/11/06 19:18:35,18.44,18.25,4.37,319.84,2.33,0.63,188,49152,6854,7533.16,159.50,181.88,19.29,
2022/11/06 19:18:50,17.81,17.75,4.36,229.69,3.18,-0.82,186,48640,6909,7514.73,162.13,183.38,19.30,
2022/11/06 19:19:05,17.49,17.50,4.37,319.84,3.05,0.27,188,49152,6883,7523.94,161.50,182.50,19.33,
2022/11/06 19:19:20,17.07,17.25,4.37,319.84,2.69,0.27,184,50432,7071,7512.88,177.25,194.25,19.33,
2022/11/06 19:19:35,16.76,17.00,4.38,319.84,2.97,0.54,191,49920,6930,7612.42,163.25,185.38,19.34,
2022/11/06 19:19:50,16.33,16.50,4.37,319.84,3.61,0.09,191,49920,6917,7575.55,161.75,183.88,19.35,
2022/11/06 19:20:05,15.91,16.00,4.38,319.84,3.25,0.00,190,49408,6956,7625.32,162.88,185.00,19.35,
2022/11/06 19:20:20,15.59,15.75,4.37,319.84,2.99,0.18,189,49152,6938,7625.32,163.00,185.13,19.35,
2022/11/06 19:20:35,15.38,15.50,4.38,319.84,3.02,0.36,191,50176,6957,7636.38,164.00,186.50,19.35,
2022/11/06 19:20:50,15.06,15.50,4.38,319.84,2.61,0.18,189,49664,6937,7658.50,163.50,185.88,19.36,
2022/11/06 19:21:05,14.85,15.25,4.37,319.84,2.96,0.18,170,43520,6482,7050.24,149.38,167.88,19.37,
2022/11/06 19:21:20,14.64,15.00,4.37,319.84,3.93,0.09,192,50176,6958,7647.44,164.25,186.50,19.38,
2022/11/06 19:21:35,14.32,14.75,4.37,319.84,2.25,0.54,183,47872,6729,7343.31,156.50,177.25,19.37,
2022/11/06 19:21:50,14.00,14.50,4.37,319.84,3.06,-0.27,190,49920,6966,7658.50,164.63,186.75,19.37,
2022/11/06 19:22:05,13.68,14.00,4.38,319.84,2.99,-0.18,67,14080,1257,1435.85,14.75,19.88,19.29,
2022/11/06 19:22:20,13.37,13.75,4.37,319.84,3.15,0.36,184,48640,6948,7533.16,169.13,186.50,19.33,
2022/11/06 19:22:35,13.05,13.50,4.38,319.84,4.91,0.27,176,46080,6565,7053.93,154.25,173.75,19.32,
2022/11/06 19:22:50,12.94,13.50,4.36,242.81,3.71,0.28,190,49920,6918,7629.00,162.38,185.00,19.31,
