Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/11/06 19:30:25,14.00,14.75,4.36,319.84,3.09,0.81,181,47616,6726,7330.41,154.88,175.75,18.37,
2022/11/06 19:30:40,14.00,14.75,4.36,319.84,2.43,0.27,187,49152,6870,7527.63,154.13,177.88,18.33,
2022/11/06 19:30:55,14.00,14.75,4.36,319.84,3.09,0.27,188,49152,6859,7522.10,160.75,182.38,18.30,
2022/11/06 19:31:10,14.00,14.75,4.37,319.84,3.32,0.36,180,46848,6665,7251.15,152.25,173.38,18.28,
2022/11/06 19:31:25,14.00,14.75,4.36,319.84,3.34,0.09,179,47104,6680,7271.42,153.25,174.50,18.28,
2022/11/06 19:31:40,14.00,14.75,4.36,319.84,3.27,0.55,180,47104,6679,7260.36,152.38,173.50,18.25,
2022/11/06 19:31:55,14.11,14.75,4.36,319.84,3.20,0.00,185,48640,6846,7477.86,159.13,181.38,18.30,
2022/11/06 19:32:10,14.11,14.75,4.37,319.84,3.22,0.27,184,48128,6842,7472.33,157.88,181.13,18.29,
2022/11/06 19:32:25,14.11,14.75,4.36,319.84,3.68,0.27,182,47616,6750,7372.80,156.13,177.88,18.15,
2022/11/06 19:32:40,14.11,14.75,4.36,319.84,3.61,0.09,180,47360,6669,7249.31,151.50,173.00,18.12,
2022/11/06 19:32:55,14.11,15.00,4.37,319.84,3.50,0.46,150,37888,5613,6030.95,111.63,131.13,18.06,
2022/11/06 19:33:10,14.11,15.00,4.37,319.84,3.05,0.28,94,20736,2533,2866.18,29.00,42.38,17.94,
2022/11/06 19:33:25,14.11,15.00,4.37,319.84,3.12,0.36,188,49408,6882,7540.53,159.00,182.63,17.88,
2022/11/06 19:33:40,14.11,15.00,4.36,319.84,2.44,0.27,185,48896,6832,7498.14,159.00,181.13,17.90,
2022/11/06 19:33:55,14.22,14.75,4.36,319.84,2.71,0.36,186,48896,6858,7503.67,160.63,182.50,17.91,
2022/11/06 19:34:10,14.11,15.00,4.36,319.84,2.89,0.81,183,48384,6808,7422.57,158.13,179.63,17.90,
2022/11/06 19:34:25,14.22,15.00,4.37,319.84,2.93,0.18,185,48384,6820,7464.96,159.00,180.88,17.88,
2022/11/06 19:34:40,14.22,15.00,4.36,319.84,2.74,0.00,185,48640,6822,7463.12,158.75,180.75,17.73,
2022/11/06 19:34:55,14.22,15.00,4.36,319.84,3.43,0.27,183,48128,6829,7457.59,158.88,181.00,17.87,
2022/11/06 19:35:10,14.22,15.00,4.36,319.84,3.15,0.99,185,48640,6864,7518.41,160.00,182.63,17.85,
