Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/11/06 19:22:55,12.94,13.50,4.34,-20479.84,3.03,0.18,189,49408,6912,7590.30,162.38,184.88,19.35,
2022/11/06 19:23:10,13.05,13.75,4.36,319.84,3.17,0.45,189,49664,6915,7606.89,162.63,185.25,19.26,
2022/11/06 19:23:25,13.05,13.75,4.36,319.84,2.17,-0.09,191,50176,6955,7643.75,163.13,185.50,19.30,
2022/11/06 19:23:40,13.05,13.75,4.36,319.84,3.14,0.72,189,49664,6919,7616.10,163.00,185.38,19.28,
2022/11/06 19:23:55,13.05,14.00,4.36,319.84,2.08,-0.45,189,49408,6940,7614.26,162.63,185.25,19.30,
2022/11/06 19:24:10,13.15,14.00,4.37,319.84,3.35,0.27,188,49152,6930,7636.38,162.88,185.38,19.30,
2022/11/06 19:24:25,13.15,14.00,4.36,319.84,3.84,0.37,190,49920,6923,7629.00,162.00,184.50,19.31,
2022/11/06 19:24:40,13.26,14.00,4.36,319.84,2.67,0.45,188,49920,6918,7606.89,162.63,184.88,19.29,
2022/11/06 19:24:55,13.26,14.00,4.36,319.84,3.37,0.45,189,49408,6927,7608.73,162.50,184.88,19.28,
2022/11/06 19:25:10,13.26,14.25,4.36,319.84,3.75,0.89,188,49408,6925,7588.45,162.75,185.00,19.25,
2022/11/06 19:25:25,13.37,14.25,4.37,319.84,3.66,0.36,183,48128,6833,7492.61,161.25,183.00,19.18,
2022/11/06 19:25:40,13.37,14.25,4.36,319.84,3.06,0.36,189,49664,6907,7582.92,162.38,184.88,19.17,
2022/11/06 19:25:55,13.47,14.25,4.37,319.84,3.07,0.27,185,48384,6725,7350.68,152.25,174.00,18.93,
2022/11/06 19:26:10,13.47,14.25,4.37,319.84,2.97,0.36,189,49408,6885,7581.08,161.50,184.00,18.90,
2022/11/06 19:26:25,13.47,14.50,4.36,319.84,2.88,-0.63,187,49152,6882,7525.79,158.75,180.88,18.67,
2022/11/06 19:26:40,13.58,14.50,4.36,319.84,2.36,0.18,187,48896,6749,7382.02,153.38,175.25,18.82,
2022/11/06 19:26:55,13.58,14.50,4.36,319.84,3.22,0.09,188,49664,6728,7358.05,149.38,170.75,18.93,
2022/11/06 19:27:10,13.68,14.50,4.37,319.84,3.42,-0.09,189,49664,6850,7476.02,154.75,176.25,18.96,
2022/11/06 19:27:25,13.68,14.50,4.37,319.84,3.33,0.27,187,48896,6876,7557.12,160.88,183.25,18.76,
2022/11/06 19:27:40,13.68,14.50,4.36,319.84,2.57,0.27,188,49664,6876,7509.20,158.88,181.50,18.73,
2022/11/06 19:27:55,13.79,14.75,4.36,319.84,3.68,0.18,187,49664,6892,7568.18,161.25,183.63,18.82,
2022/11/06 19:28:10,13.79,14.50,4.36,319.84,3.64,0.00,181,47360,6725,7347.00,154.13,175.63,18.81,
2022/11/06 19:28:25,13.79,14.50,4.36,319.84,3.54,-0.98,182,47872,6738,7337.78,159.50,179.13,18.73,
2022/11/06 19:28:40,13.79,14.75,4.37,319.84,3.39,0.54,182,47616,6757,7394.92,158.63,179.88,18.62,
2022/11/06 19:28:55,13.90,14.50,4.36,319.84,3.32,0.18,183,48128,6803,7435.47,159.13,181.00,18.66,
2022/11/06 19:29:10,13.90,14.75,4.37,319.84,3.84,0.36,186,48640,6867,7514.73,157.38,180.38,18.64,
2022/11/06 19:29:25,13.90,14.75,4.36,319.84,2.35,0.45,183,48128,6686,7289.86,152.50,174.00,18.59,
2022/11/06 19:29:40,13.90,14.75,4.37,319.84,3.32,0.73,185,48640,6779,7417.04,154.88,177.13,18.51,
2022/11/06 19:29:55,13.90,14.75,4.36,319.84,3.74,0.09,183,48128,6737,7352.52,155.88,177.13,18.38,
2022/11/06 19:30:10,13.90,14.75,4.36,319.84,3.16,0.00,182,47616,6744,7367.27,154.88,176.50,18.35,
