Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/11/01 20:00:06,23.72,23.75,4.38,319.84,4.80,0.64,177,47104,6762,7404.13,148.38,175.00,22.66,
2022/11/01 20:00:21,23.83,24.00,4.38,319.84,5.32,0.36,174,45824,6737,7383.86,148.38,174.88,22.77,
2022/11/01 20:00:36,23.93,24.00,4.38,319.84,4.39,0.26,176,46592,6742,7365.43,148.25,174.63,22.88,
2022/11/01 20:00:51,23.93,23.75,4.38,319.84,5.30,0.18,176,46592,6743,7369.11,148.13,174.50,23.00,
2022/11/01 20:01:06,23.83,23.75,4.38,319.84,4.62,0.72,175,46080,6725,7380.17,147.88,174.13,23.10,
2022/11/01 20:01:21,23.83,24.00,4.38,319.84,4.55,0.90,177,47104,6736,7391.23,148.00,174.50,23.21,
2022/11/01 20:01:36,23.83,24.00,4.38,319.84,4.22,0.36,176,46336,6748,7382.02,148.00,174.50,23.30,
2022/11/01 20:01:51,23.93,24.00,4.38,319.84,5.07,0.27,176,46592,6740,7348.84,148.00,174.38,23.40,
2022/11/01 20:02:06,23.93,24.00,4.38,319.84,5.45,0.44,175,46336,6733,7337.78,147.50,174.00,23.50,
2022/11/01 20:02:21,24.04,24.00,4.38,319.84,5.34,0.27,175,46336,6727,7352.52,147.88,174.25,23.60,
2022/11/01 20:02:36,23.93,24.00,4.38,319.84,4.98,0.27,175,46592,6735,7361.74,147.88,174.25,23.69,
2022/11/01 20:02:51,24.04,24.00,4.38,319.84,4.34,0.36,174,45824,6733,7339.62,146.75,173.13,23.79,
2022/11/01 20:03:06,24.04,24.25,4.38,319.84,5.35,0.54,177,46848,6726,7337.78,147.63,174.00,23.88,
2022/11/01 20:03:21,24.04,24.25,4.38,319.84,5.48,0.00,177,47360,6724,7343.31,147.50,174.00,23.98,
2022/11/01 20:03:36,24.15,24.25,4.38,319.84,4.92,0.98,174,45824,6730,7378.33,146.50,173.00,24.07,
2022/11/01 20:03:51,24.25,24.25,4.38,319.84,5.15,0.00,172,45568,6624,7223.50,143.25,169.38,24.16,
2022/11/01 20:04:06,24.36,24.25,4.38,319.84,5.48,0.00,177,46848,6752,7358.05,147.50,174.13,24.25,
2022/11/01 20:04:21,24.25,24.25,4.38,319.84,5.59,0.27,173,46080,6749,7354.37,147.13,173.50,24.34,
2022/11/01 20:04:36,24.36,24.25,4.37,319.84,5.61,0.54,173,45824,6705,7293.54,145.88,172.38,24.42,
2022/11/01 20:04:51,24.15,24.25,4.37,319.84,4.97,0.63,173,45824,6647,7227.19,143.25,169.50,24.50,
2022/11/01 20:05:06,24.15,24.25,4.37,319.84,3.97,0.54,174,46080,6662,7245.62,144.00,170.50,24.59,
2022/11/01 20:05:21,24.15,24.25,4.37,319.84,5.00,0.36,173,46080,6659,7271.42,143.63,170.13,24.66,
2022/11/01 20:05:36,24.04,24.25,4.38,319.84,4.91,0.63,172,45312,6662,7258.52,143.63,170.00,24.75,
2022/11/01 20:05:51,24.04,24.25,4.37,319.84,4.86,0.53,173,46080,6716,7323.03,145.88,172.63,24.83,
2022/11/01 20:06:06,24.04,24.25,4.38,319.84,4.87,0.45,172,45568,6699,7297.23,145.38,171.75,24.90,
2022/11/01 20:06:21,24.15,24.25,4.37,319.84,4.74,0.36,177,47104,6732,7359.90,147.25,173.75,24.98,
2022/11/01 20:06:36,24.15,24.25,4.37,319.84,4.54,1.07,174,46336,6742,7339.62,147.75,174.25,25.05,
2022/11/01 20:06:51,24.25,24.50,4.37,319.84,4.91,0.36,175,46848,6747,7319.35,147.88,174.13,25.13,
2022/11/01 20:07:06,24.36,24.50,4.37,319.84,5.09,0.44,174,46592,6756,7337.78,148.00,174.38,25.21,
2022/11/01 20:07:21,24.47,24.50,4.37,319.84,4.30,0.72,174,46592,6742,7302.76,147.00,173.25,25.28,
2022/11/01 20:07:36,24.47,24.50,4.38,319.84,5.15,0.45,171,45568,6663,7275.11,144.88,170.88,25.36,
2022/11/01 20:07:51,24.47,24.50,4.37,319.84,5.15,0.36,169,45056,6587,7131.34,141.25,167.13,25.42,
2022/11/01 20:08:06,24.57,24.75,4.38,319.84,5.75,0.80,173,45824,6676,7252.99,144.63,170.63,25.49,
2022/11/01 20:08:21,24.68,24.75,4.37,319.84,4.58,0.18,174,46592,6724,7276.95,146.50,172.75,25.56,
2022/11/01 20:08:36,24.68,24.75,4.37,319.84,4.35,0.63,173,46080,6668,7247.46,144.75,170.88,25.63,
2022/11/01 20:08:51,24.79,24.75,4.38,319.84,5.03,0.71,172,45824,6638,7190.32,143.50,169.50,25.72,
2022/11/01 20:09:06,24.89,24.75,4.38,319.84,5.91,-0.36,171,45312,6655,7212.44,144.13,170.13,25.80,
2022/11/01 20:09:21,24.89,25.00,4.37,319.84,5.40,0.89,173,46336,6713,7252.99,146.25,172.50,25.87,
2022/11/01 20:09:36,24.89,24.75,4.37,319.84,5.24,0.72,172,46336,6715,7249.31,146.13,172.25,25.95,
2022/11/01 20:09:51,24.68,24.75,4.37,319.84,5.29,0.71,172,45824,6696,7251.15,145.75,171.88,26.02,
2022/11/01 20:10:06,24.57,24.75,4.38,319.84,5.33,0.54,172,45824,6658,7216.13,144.25,170.13,26.09,
2022/11/01 20:10:21,24.57,24.75,4.37,319.84,5.37,0.71,170,45312,6613,7140.56,142.25,168.00,26.16,
2022/11/01 20:10:36,24.57,24.75,4.38,319.84,5.20,0.71,171,45824,6630,7206.91,142.88,168.75,26.22,
2022/11/01 20:10:51,24.68,24.75,4.38,319.84,5.18,0.36,172,45824,6656,7214.28,144.13,170.25,26.28,
2022/11/01 20:11:06,24.68,24.75,4.37,319.84,4.39,0.44,170,45056,6649,7175.58,143.88,169.88,26.35,
2022/11/01 20:11:21,24.68,25.00,4.37,319.84,5.23,0.44,170,45056,6623,7160.83,143.25,169.13,26.41,
2022/11/01 20:11:36,24.79,24.75,4.37,319.84,4.54,0.54,170,45312,6620,7131.34,141.88,167.63,26.47,
2022/11/01 20:11:51,24.79,24.75,4.37,319.84,5.41,0.53,168,44544,6539,7050.24,139.63,165.25,26.53,
2022/11/01 20:12:06,24.79,24.75,4.37,319.84,4.48,0.27,169,44800,6562,7074.20,140.25,165.75,26.59,
2022/11/01 20:12:21,24.79,24.75,4.37,319.84,4.59,1.52,170,45312,6596,7140.56,142.38,168.13,26.65,
2022/11/01 20:12:36,24.68,24.75,4.37,319.84,5.34,0.63,170,45312,6590,7109.22,141.63,167.25,26.71,
2022/11/01 20:12:51,24.57,24.75,4.38,319.84,5.11,0.63,170,45568,6647,7192.17,144.13,169.75,26.78,
2022/11/01 20:13:06,24.57,24.50,4.38,319.84,4.61,0.36,171,45824,6663,7201.38,144.25,169.88,26.84,
2022/11/01 20:13:21,24.47,24.75,4.37,319.84,5.29,0.80,171,46080,6652,7177.42,144.25,169.88,26.89,
2022/11/01 20:13:36,24.47,24.75,4.37,319.84,5.00,0.27,172,46080,6676,7170.05,144.75,170.38,26.95,
2022/11/01 20:13:51,24.57,24.75,4.37,319.84,5.12,0.36,171,45568,6661,7216.13,144.88,170.50,27.01,
