Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/11/01 19:54:52,20.76,21.25,4.38,319.84,5.10,0.54,172,46336,6799,7396.76,158.00,181.13,19.76,
2022/11/01 19:55:06,20.97,21.25,4.38,319.84,4.36,0.45,177,47104,6842,7411.51,156.25,180.63,19.94,
2022/11/01 19:55:21,21.29,21.50,4.38,319.84,6.14,0.18,176,46592,6785,7492.61,150.63,177.13,20.12,
2022/11/01 19:55:36,21.39,21.75,4.38,319.84,5.24,0.90,170,45568,6623,7245.62,145.75,170.50,20.28,
2022/11/01 19:55:51,21.60,22.00,4.38,319.84,5.50,0.18,178,46848,6787,7481.55,150.50,176.88,20.44,
2022/11/01 19:56:06,21.82,22.25,4.38,319.84,4.43,0.89,174,45824,6743,7431.78,149.00,175.63,20.60,
2022/11/01 19:56:21,22.03,22.25,4.38,319.84,4.60,0.80,173,45568,6646,7302.76,145.50,171.75,20.75,
2022/11/01 19:56:36,22.13,22.25,4.38,319.84,3.67,0.09,173,45824,6703,7341.47,147.25,173.75,20.89,
2022/11/01 19:56:51,22.24,22.25,4.38,319.84,5.25,0.09,171,45312,6629,7288.01,144.75,170.88,21.03,
2022/11/01 19:57:06,22.45,22.75,4.38,319.84,5.54,0.54,171,45056,6594,7219.81,142.50,168.13,21.16,
2022/11/01 19:57:21,22.56,22.75,4.38,319.84,4.67,0.45,169,44800,6548,7147.93,140.88,166.13,21.29,
2022/11/01 19:57:36,22.66,23.00,4.38,319.84,5.03,0.36,167,44032,6564,7192.17,141.75,166.88,21.41,
2022/11/01 19:57:51,22.77,23.00,4.38,319.84,5.34,0.09,175,46336,6732,7400.45,147.63,173.63,21.55,
2022/11/01 19:58:06,22.87,23.25,4.38,319.84,5.35,0.36,175,46080,6750,7415.19,148.63,174.63,21.69,
2022/11/01 19:58:21,23.09,23.25,4.38,319.84,4.88,0.09,176,46336,6746,7394.92,148.50,174.50,21.82,
2022/11/01 19:58:36,23.09,23.25,4.38,319.84,4.64,0.63,176,46336,6747,7398.60,148.75,174.88,21.95,
2022/11/01 19:58:51,23.19,23.25,4.38,319.84,4.60,0.27,175,46080,6773,7420.72,149.25,175.75,22.08,
2022/11/01 19:59:06,23.30,23.50,4.38,319.84,5.17,1.08,177,47360,6769,7435.47,149.38,176.00,22.21,
2022/11/01 19:59:21,23.40,23.50,4.38,319.84,4.76,0.18,169,45824,6799,7374.64,153.38,178.00,22.33,
2022/11/01 19:59:36,23.51,23.75,4.38,319.84,4.95,0.54,175,46848,6773,7424.41,149.00,175.50,22.45,
2022/11/01 19:59:51,23.62,23.75,4.38,319.84,5.09,1.18,176,46848,6756,7409.66,149.13,175.63,22.54,
