Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/08/22 14:16:35,23.62,23.75,4.38,-20479.84,5.14,-0.45,49,11776,845,805.48,9.25,13.75,21.10,
2022/08/22 14:16:50,23.51,23.75,4.38,319.84,6.65,-0.27,50,11520,883,927.13,8.88,14.00,21.00,
2022/08/22 14:17:05,23.40,23.75,4.38,319.84,4.96,-0.81,50,11776,879,925.29,8.88,14.00,20.99,
2022/08/22 14:17:20,23.30,23.50,4.38,319.84,6.25,0.18,51,11776,879,925.29,8.88,14.00,20.97,
2022/08/22 14:17:35,23.30,23.50,4.38,319.84,6.25,0.09,50,11520,879,925.29,8.88,14.00,20.96,
2022/08/22 14:17:50,23.19,23.50,4.38,319.84,6.49,-0.27,50,11520,880,925.29,8.88,14.00,20.95,
2022/08/22 14:18:05,23.19,23.50,4.39,319.84,6.10,0.09,49,11008,884,919.76,9.00,14.13,20.94,
2022/08/22 14:18:20,23.09,23.50,4.38,280.31,2.84,-4.66,0,0,12,9.22,0.25,0.25,20.91,
