Lib = 0.2.0 SN = FFFF-FFFF-FFFF-FFFF
Time [UTC], Temp OB [C], Temp RTC [C], Bat [V], Pyro [uV], R_u [deg], P_u [deg], UVA_u, UVB_u, White_u, Vis_u [lx], IR_S_u [mV], IR_M_u [mV], PyroT_u [C], 
2022/08/31 14:00:17,26.82,27.00,4.38,319.84,2.17,-5.83,0,0,25,7.37,0.38,0.50,25.05,
2022/08/31 14:00:31,26.82,27.00,4.38,319.84,0.73,-5.14,0,512,67,29.49,1.13,1.25,25.06,
2022/08/31 14:00:46,26.93,27.25,4.39,319.84,2.28,0.09,41,9472,672,680.14,7.00,10.63,25.10,
2022/08/31 14:01:01,26.93,27.25,4.38,319.84,3.36,0.63,40,8960,674,691.20,7.00,10.63,25.13,
2022/08/31 14:01:16,26.93,27.25,4.38,319.84,3.47,1.18,44,10496,675,696.73,7.00,10.63,25.14,
2022/08/31 14:01:31,27.04,27.25,4.39,319.84,2.05,0.81,42,9728,676,694.89,7.00,10.63,25.15,
2022/08/31 14:01:46,27.04,27.25,4.38,319.84,2.64,-0.09,42,9728,676,693.04,7.00,10.75,25.13,
2022/08/31 14:02:01,27.04,27.25,4.38,319.84,2.74,0.27,42,9728,678,693.04,7.00,10.63,25.10,
2022/08/31 14:02:16,27.04,27.25,4.38,319.84,2.16,1.11,41,9728,677,694.89,7.00,10.63,25.07,
2022/08/31 14:02:31,27.04,27.25,4.39,319.84,2.23,0.27,42,9984,679,694.89,7.00,10.75,25.02,
2022/08/31 14:02:46,27.04,27.25,4.39,319.84,1.89,0.18,42,9728,678,694.89,7.00,10.75,24.98,
2022/08/31 14:03:01,27.04,27.25,4.39,319.84,1.97,0.72,42,9984,679,696.73,7.00,10.75,24.93,
2022/08/31 14:03:16,26.93,27.25,4.39,319.84,2.61,0.36,42,9984,679,696.73,7.00,10.75,24.88,
2022/08/31 14:03:31,26.93,27.25,4.39,319.84,2.15,0.27,42,9728,679,696.73,7.13,10.75,24.83,
2022/08/31 14:03:46,26.93,27.25,4.38,319.84,2.08,1.25,42,9984,681,696.73,7.00,10.75,24.78,
2022/08/31 14:04:01,26.93,27.00,4.38,319.84,3.01,1.72,42,9984,681,698.57,7.00,10.75,24.72,
2022/08/31 14:04:16,26.93,27.00,4.39,319.84,2.29,1.10,42,9984,684,698.57,7.13,10.75,24.66,
2022/08/31 14:04:31,26.82,27.00,4.38,319.84,2.40,0.54,42,9984,683,698.57,7.13,10.75,24.61,
2022/08/31 14:04:46,26.82,27.00,4.39,319.84,2.42,0.71,43,9984,683,702.26,7.13,10.75,24.55,
2022/08/31 14:05:01,26.82,27.00,4.38,319.84,2.75,0.45,43,9984,683,700.42,7.13,10.88,24.49,
2022/08/31 14:05:16,26.82,27.00,4.38,319.84,2.46,1.17,43,9984,684,700.42,7.13,10.88,24.43,
